PeakID (cmd=annotatePeaks.pl /home/xiang/New_disk1/CD8_CUTRUN/data//T48hr_NoQ_H3K27me3_idr.05.bed mm10 -cpu 20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7062	chr6	127020158	127023471	+	0	NA	intron (NM_010204, intron 2 of 2)	intron (NM_010204, intron 2 of 2)	6272	NM_010204	14177	Mm.3403	NM_010204	ENSMUSG00000000183	Fgf6	Fgf-6|HSTF-2	fibroblast growth factor 6	protein-coding
1030	chr11	44610291	44617307	+	0	NA	Intergenic	Intergenic	-4301	NM_001362576	13591	Mm.439662	NM_007897	ENSMUSG00000057098	Ebf1	Ebf|O/E-1|OE-1|Olf-1|Olf1	early B cell factor 1	protein-coding
3328	chr17	24663295	24665981	+	0	NA	Intergenic	B1_Mur2|SINE|Alu	-5049	NM_183149	213753	Mm.219581	NM_183149	ENSMUSG00000041130	Zfp598	BC023040|Ntrap|Znf598	zinc finger protein 598	protein-coding
4169	chr2	12886593	12887049	+	0	NA	Intergenic	Intergenic	-37220	NM_001305436	19212	Mm.229322	NM_008961	ENSMUSG00000026730	Pter	AI790318|Mpr56-1	phosphotriesterase related	protein-coding
7173	chr7	24675351	24681905	+	0	NA	Intergenic	B4A|SINE|B4	-6578	NM_019981	56746	Mm.23385	NM_019981	ENSMUSG00000062773	Tex101	1700008H15Rik|AI429076|TES101RP	testis expressed gene 101	protein-coding
8722	chr9	122723186	122728407	+	0	NA	Intergenic	Intergenic	-21403	NM_001199736	671232	Mm.296421	NM_001199736	ENSMUSG00000094985	Topaz1	Gm9524	testis and ovary specific PAZ domain containing 1	protein-coding
2079	chr13	37606467	37607573	+	0	NA	Intergenic	(GGAGA)n|Simple_repeat|Simple_repeat	-219018	NM_026830	68750	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding
7701	chr7	143154048	143156716	+	0	NA	intron (NM_008434, intron 2 of 15)	intron (NM_008434, intron 2 of 15)	48128	NM_008434	16535	Mm.439769	NM_008434	ENSMUSG00000009545	Kcnq1	AW559127|KVLQT1|Kcna9	potassium voltage-gated channel, subfamily Q, member 1	protein-coding
3688	chr18	36208745	36214044	+	0	NA	Intergenic	L1_Mus1|LINE|L1	-14003	NM_001167891	100042150	Mm.380390	NM_001167891	ENSMUSG00000060275	Nrg2	Don1|NTAK	neuregulin 2	protein-coding
5921	chr4	134865523	134871853	+	0	NA	intron (NM_011270, intron 1 of 9)	intron (NM_011270, intron 1 of 9)	4152	NM_011270	19746	Mm.195461	NM_011270	ENSMUSG00000028825	Rhd	Rh|Rhced|Rhl1	Rh blood group, D antigen	protein-coding
2293	chr13	103092158	103098862	+	0	NA	intron (NM_175171, intron 3 of 28)	intron (NM_175171, intron 3 of 28)	238982	NM_175171	328329	Mm.202606	NM_175171	ENSMUSG00000034751	Mast4	4930420O11Rik|AI642422|mKIAA0303	microtubule associated serine/threonine kinase family member 4	protein-coding
8293	chr9	51770112	51771701	+	0	NA	intron (NM_175535, intron 1 of 14)	intron (NM_175535, intron 1 of 14)	5555	NM_175535	244867	Mm.400352	NM_175535	ENSMUSG00000053199	Arhgap20	6530403F17Rik|A530023E23Rik|RARhoGAP|mKIAA1391	Rho GTPase activating protein 20	protein-coding
1686	chr12	25271891	25273627	+	0	NA	Intergenic	Intergenic	143585	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
7489	chr7	105488022	105491390	+	0	NA	Intergenic	Intergenic	-7509	NM_028444	109042	Mm.3124	NM_028444	ENSMUSG00000037060	Cavin3	3110015B12Rik|6330514M23Rik|Prkcdbp|SRBC	caveolae associated 3	protein-coding
5577	chr4	44723704	44738040	+	0	NA	Intergenic	PB1D10|SINE|Alu	-20178	NM_008782	18507	Mm.138828	NM_008782	ENSMUSG00000014030	Pax5	BSAP|EBB-1|KLP|Pax-5	paired box 5	protein-coding
6424	chr5	113362317	113364595	+	0	NA	Intergenic	Intergenic	6162	NM_001012726	503692	Mm.348794	NM_001012726	ENSMUSG00000053873	Aym1	-	activator of yeast meiotic promoters 1	protein-coding
626	chr10	22403409	22403942	+	0	NA	non-coding (NR_028580, exon 2 of 2)	non-coding (NR_028580, exon 2 of 2)	862	NR_028580	100038752	Mm.392859	NR_028580	ENSMUSG00000096937	Gm10825	-	predicted gene 10825	ncRNA
451	chr1	171074449	171079306	+	0	NA	Intergenic	Intergenic	-12225	NR_106103	102466998		NR_106103	ENSMUSG00000099119	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
1143	chr11	63058972	63060914	+	0	NA	Intergenic	Intergenic	-1716	NM_027660	71062	Mm.23534	NM_027660	ENSMUSG00000042189	Tekt3	4933407G07Rik	tektin 3	protein-coding
5886	chr4	130191943	130196266	+	0	NA	Intergenic	Intergenic	-18982	NM_023476	94242	Mm.15801	NM_023476	ENSMUSG00000028776	Tinagl1	1110021J17Rik|AZ-1|AZ1|Arg1|Lcn7|TARP|Tinagl	tubulointerstitial nephritis antigen-like 1	protein-coding
5258	chr3	94901807	94910272	+	0	NA	Intergenic	MERVL_2A-int|LTR|ERVL	-19081	NM_008945	19172	Mm.368	NM_008945	ENSMUSG00000005779	Psmb4	Pros-27	proteasome (prosome, macropain) subunit, beta type 4	protein-coding
1543	chr11	108804774	108807216	+	0	NA	intron (NM_145688, intron 3 of 6)	intron (NM_145688, intron 3 of 6)	-114354	NM_015732	12006	Mm.71710	NM_015732	ENSMUSG00000000142	Axin2	Axi1|Axil|Conductin	axin 2	protein-coding
6810	chr6	70943256	70955293	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-7332	NM_001101464	232077	Mm.297656	NM_001101464	ENSMUSG00000055874	Foxi3	-	forkhead box I3	protein-coding
1476	chr11	102576238	102586158	+	0	NA	Intergenic	Intergenic	-2079	NR_040286	100040792	Mm.277966	NR_040286	ENSMUSG00000078640	Gm11627	-	predicted gene 11627	ncRNA
3025	chr16	11937829	11940037	+	0	NA	Intergenic	Intergenic	-29510	NM_146067	223978	Mm.86360	NM_146067	ENSMUSG00000065979	Cpped1	C530044N13Rik	calcineurin-like phosphoesterase domain containing 1	protein-coding
5805	chr4	121037390	121041120	+	0	NA	promoter-TSS (NM_007741)	promoter-TSS (NM_007741)	-311	NM_007741	12840	Mm.269384	NM_007741	ENSMUSG00000028626	Col9a2	AI427499|Col9a-2	collagen, type IX, alpha 2	protein-coding
